function id,signature with docstring,function body
1,"    def get_model_agent(self):
        """"""
        Return model agent.
        """"""",        return self.get_agents()[1]
2,"    def _warn_unsafe_extraction_path(path):
        """"""
        If the default extraction path is overridden and set to an insecure
        location, such as /tmp, it opens up an opportunity for an attacker to
        replace an extracted file with an unauthorized payload. Warn the user
        if a known insecure location is used.

        See Distribute #375 for more details.
        """"""","        if os.name == 'nt' and not path.startswith(os.environ['windir']):
            # On Windows, permissions are generally restrictive by default
            #  and temp directories are not writable by other users, so
            #  bypass the warning.
            return
        mode = os.stat(path).st_mode
        if mode & stat.S_IWOTH or mode & stat.S_IWGRP:
            msg = (""%s is writable by group/others and vulnerable to attack ""
                ""when ""
                ""used with get_resource_filename. Consider a more secure ""
                ""location (set with .set_extraction_path or the ""
                ""PYTHON_EGG_CACHE environment variable)."" % path)
            warnings.warn(msg, UserWarning)"
3,"    def _compute_dependencies(self):
        """"""Recompute this distribution's dependencies.""""""","        from _markerlib import compile as compile_marker
        dm = self.__dep_map = {None: []}

        reqs = []
        # Including any condition expressions
        for req in self._parsed_pkg_info.get_all('Requires-Dist') or []:
            distvers, mark = self._preparse_requirement(req)
            parsed = next(parse_requirements(distvers))
            parsed.marker_fn = compile_marker(mark)
            reqs.append(parsed)

        def reqs_for_extra(extra):
            for req in reqs:
                if req.marker_fn(override={'extra':extra}):
                    yield req

        common = frozenset(reqs_for_extra(None))
        dm[None].extend(common)

        for extra in self._parsed_pkg_info.get_all('Provides-Extra') or []:
            extra = safe_extra(extra.strip())
            dm[extra] = list(frozenset(reqs_for_extra(extra)) - common)

        return dm"
4,"    def add_cmdline_args(
        cls, parser: ParlaiParser, partial_opt: Optional[Opt] = None
    ) -> ParlaiParser:
        """"""
        Adds command line arguments.
        """"""","        parser.add_argument(
            '--num-words', type=int, default=10, help='Number of unigrams to output.'
        )
        cls.dictionary_class().add_cmdline_args(parser, partial_opt=partial_opt)
        return parser"
5,"def trypull(repo, xs):
    """"""Pull the list of given names xs.

    Return true if pull succeeded for all names. Does not raise.
    """"""","    # Do not attempt to pull the same name twice, or names in the repo.
    repo._autopulled = getattr(repo, ""_autopulled"", set())
    xs = [x for x in xs if x not in repo._autopulled and x not in repo]
    if not xs:
        return False
    repo._autopulled.update(xs)

    # If paths.default is not set. Do not attempt to pull.
    if repo.ui.paths.get(""default"") is None:
        return False

    def sortkey(tup):
        name, func = tup
        return (func._priority, name)

    # Try autopull functions.
    funcs = [
        func
        for _name, func in sorted(_table.items(), key=lambda t: (t[1]._priority, t[0]))
    ]
    if not funcs:
        return

    # Collect all attempts.
    attempts = []
    for x in xs:
        for func in funcs:
            attempt = func(repo, x)
            if attempt:
                assert isinstance(attempt, pullattempt)
                attempts.append(attempt)

    # Merge all pullattempts and execute it.
    if attempts:
        attempt = attempts[0]
        for other in attempts[1:]:
            merged = attempt.trymerge(other)
            if merged:
                attempt = merged
            else:
                attempt.execute(repo)
                attempt = other
        attempt.execute(repo)
        unfi = repo
        return all(x in unfi for x in xs)

    return False"
6,"def export_model(opt: Opt):
    """"""
    Export a model to TorchScript so that inference can be run outside of ParlAI.
    """"""","
    if version.parse(torch.__version__) < version.parse(""1.7.0""):
        raise NotImplementedError(
            ""TorchScript export is only supported for Torch 1.7 and higher!""
        )
    else:
        # Only load TorchScriptGreedySearch now, because this will trigger scripting of
        # associated modules
        from parlai.torchscript.modules import TorchScriptGreedySearch

    overrides = {
        ""model_parallel"": False  # model_parallel is not currently supported when TorchScripting,
    }
    if opt.get(""script_module""):
        script_module_name, script_class_name = opt[""script_module""].split("":"", 1)
        script_module = importlib.import_module(script_module_name)
        script_class = getattr(script_module, script_class_name)
    else:
        script_class = TorchScriptGreedySearch
    if ""override"" not in opt:
        opt[""override""] = {}
    for k, v in overrides.items():
        opt[k] = v
        opt[""override""][k] = v

    # Create the unscripted greedy-search module
    agent = create_agent(opt, requireModelExists=True)
    original_module = script_class(agent)

    # Script the module and save
    instantiated = script_class(agent)
    if not opt[""no_cuda""]:
        instantiated = instantiated.cuda()
    if opt.get(""enable_inference_optimizations""):
        scripted_model = torch.jit.optimize_for_inference(
            torch.jit.script(instantiated.eval())
        )
    else:
        scripted_model = torch.jit.script(instantiated)

    with PathManager.open(opt[""scripted_model_file""], ""wb"") as f:
        torch.jit.save(scripted_model, f)

    # Compare the original module to the scripted module against the test inputs
    if len(opt[""input""]) > 0:
        inputs = opt[""input""].split(""|"")
        print(""\nGenerating given the original unscripted module:"")
        _run_conversation(module=original_module, inputs=inputs)
        print(""\nGenerating given the scripted module:"")
        _run_conversation(module=scripted_model, inputs=inputs)"
7,"    def _enqueue_request(self):
        """"""
        Queue a request for loading to the data loader.
        """"""","        if self.threading:
            self.data_loader.request_load(self.receive_data, self.get_chunk, ())
        else:
            self._process_data(self.get_chunk())"
8,"def debugstatus(ui, repo, **opts):
    """"""common performance issues for status""""""","    if ""treestate"" not in repo.requirements:
        raise error.Abort(""debugstatus only supports treestate currently"")
    if ""eden"" in repo.requirements:
        raise error.Abort(""debugstatus is not supported in edenfs virtual checkouts"")

    dirstate = repo.dirstate
    dmap = dirstate._map
    ui.write(_x(""len(dirstate) = %d\n"") % len(dmap))

    nonnormalset = dmap.nonnormalset
    ui.write(_x(""len(nonnormal) = %d\n"") % len(nonnormalset))

    visitdir = dirstate._ignore.visitdir

    def dirfilter(path):
        return visitdir(path) == ""all""

    nonnormalfiltered = dmap.nonnormalsetfiltered(dirfilter)
    ui.write(_x(""len(filtered nonnormal) = %d\n"") % len(nonnormalfiltered))

    toprint = int(opts.get(""nonnormal"", 0))
    if toprint:
        for path in sorted(nonnormalfiltered)[:toprint]:
            ui.write(_x(""  %s\n"") % path)

    ui.write(_x(""clock = %s\n"") % dirstate.getclock())"
9,"    def commit(
        self,
        text="""",
        user=None,
        date=None,
        match=None,
        force=False,
        editor=False,
        extra=None,
        loginfo=None,
        mutinfo=None,
    ):
        """"""Add a new revision to current repository.

        Revision information is gathered from the working directory,
        match can be used to filter the committed files. If editor is
        supplied, it is called to get a commit message.
        """"""","        if extra is None:
            extra = {}

        if loginfo is None:
            loginfo = {}

        def fail(f, msg):
            raise errormod.Abort(""%s: %s"" % (f, msg))

        if not match:
            match = matchmod.always(self.root, """")

        if not force:
            match.bad = fail

        wlock = lock = tr = None
        try:
            wlock = self.wlock()
            lock = self.lock()  # for recent changelog (see issue4368)

            wctx = self[None]
            merge = len(wctx.parents()) > 1

            if not force and merge and not match.always():
                raise errormod.Abort(
                    _(
                        ""cannot partially commit a merge ""
                        ""(do not specify files or patterns)""
                    )
                )

            status = self.status(match=match, clean=force)

            # make sure all explicit patterns are matched
            if not force:
                self.checkcommitpatterns(wctx, match, status, fail)

            loginfo.update({""checkoutidentifier"": self.dirstate.checkoutidentifier})

            cctx = context.workingcommitctx(
                self, status, text, user, date, extra, loginfo, mutinfo
            )

            # internal config: ui.allowemptycommit
            allowemptycommit = (
                wctx.branch() != wctx.p1().branch()
                or extra.get(""close"")
                or merge
                or cctx.files()
                or self.ui.configbool(""ui"", ""allowemptycommit"")
            )
            if not allowemptycommit:
                return None

            if merge and cctx.deleted():
                raise errormod.Abort(_(""cannot commit merge with missing files""))

            ms = mergemod.mergestate.read(self)
            mergeutil.checkunresolved(ms)

            if editor:
                cctx._text = editor(self, cctx)
            edited = text != cctx._text

            # Save commit message in case this transaction gets rolled back
            # (e.g. by a pretxncommit hook).  Leave the content alone on
            # the assumption that the user will use the same editor again.
            msgfn = self.savecommitmessage(cctx._text)

            p1, p2 = self.dirstate.parents()
            hookp1, hookp2 = hex(p1), (p2 != nullid and hex(p2) or """")
            try:
                self.hook(""precommit"", throw=True, parent1=hookp1, parent2=hookp2)
                tr = self.transaction(""commit"")
                ret = self.commitctx(cctx, True)
            except:  # re-raises
                if edited:
                    self.ui.write(_(""note: commit message saved in %s\n"") % msgfn)
                raise
            # update bookmarks, dirstate and mergestate
            bookmarks.update(self, [p1, p2], ret)
            cctx.markcommitted(ret)
            ms.reset()
            tr.close()

        finally:
            lockmod.release(tr, lock, wlock)

        def commithook(node=hex(ret), parent1=hookp1, parent2=hookp2):
            # hack for command that use a temporary commit (eg: histedit)
            # temporary commit got stripped before hook release
            if self.changelog.hasnode(ret):
                self.hook(""commit"", node=node, parent1=parent1, parent2=parent2)

        self._afterlock(commithook)
        return ret"
10,"def mask_rcnn_fcn_head_v1up4convs(model, blob_in, dim_in, spatial_scale):
    """"""v1up design: 4 * (conv 3x3), convT 2x2.""""""","    return mask_rcnn_fcn_head_v1upXconvs(
        model, blob_in, dim_in, spatial_scale, 4
    )"
